Time Ia Ib Ic Ia Ib Ic
0.00065000000000000105 5.3397286592371529e-06 -2.1159962670935784e-05 1.581668129801983e-05 5.3397286592371529e-06 -2.1159962670935784e-05 1.581668129801983e-05
0.00066000000000000108 5.4249937875283649e-06 -2.1174173525650986e-05 1.5759837879159022e-05 5.4249937875283649e-06 -2.1174173525650986e-05 1.5759837879159022e-05
0.00067000000000000111 5.5067062021407764e-06 -2.120259523508139e-05 1.5717205315013416e-05 5.5067062021407764e-06 -2.120259523508139e-05 1.5717205315013416e-05
0.00068000000000000113 5.574207762037986e-06 -2.1216806089796592e-05 1.5646151041437406e-05 5.574207762037986e-06 -2.1216806089796592e-05 1.5646151041437406e-05
0.00069000000000000116 5.659472890329198e-06 -2.1245227799226996e-05 1.5575096767861396e-05 5.659472890329198e-06 -2.1245227799226996e-05 1.5575096767861396e-05
0.00070000000000000119 5.730527163905208e-06 -2.1259438653942198e-05 1.5518253349000588e-05 5.730527163905208e-06 -2.1259438653942198e-05 1.5518253349000588e-05
0.00071000000000000121 5.8122395785176195e-06 -2.1287860363372602e-05 1.546140993013978e-05 5.8122395785176195e-06 -2.1287860363372602e-05 1.546140993013978e-05
0.00072000000000000124 5.908162847845233e-06 -2.1316282072803006e-05 1.5418777365994174e-05 5.908162847845233e-06 -2.1316282072803006e-05 1.5418777365994174e-05
0.00073000000000000126 5.9756644077424426e-06 -2.1316282072803006e-05 1.5347723092418164e-05 5.9756644077424426e-06 -2.1316282072803006e-05 1.5347723092418164e-05
0.00074000000000000129 6.0538241086760536e-06 -2.134470378223341e-05 1.5290879673557356e-05 6.0538241086760536e-06 -2.134470378223341e-05 1.5290879673557356e-05
0.00075000000000000132 6.1355365232884651e-06 -2.1358914636948612e-05 1.5234036254696548e-05 6.1355365232884651e-06 -2.1358914636948612e-05 1.5234036254696548e-05
0.00076000000000000134 6.1959326558280736e-06 -2.1373125491663814e-05 1.517719283583574e-05 6.1959326558280736e-06 -2.1373125491663814e-05 1.517719283583574e-05
0.00077000000000000137 6.2989613525132881e-06 -2.141575805580942e-05 1.5120349416974932e-05 6.2989613525132881e-06 -2.141575805580942e-05 1.5120349416974932e-05
0.0007800000000000014 6.3735683397680987e-06 -2.1429968910524622e-05 1.5049295143398922e-05 6.3735683397680987e-06 -2.1429968910524622e-05 1.5049295143398922e-05
0.00079000000000000142 6.4588334680593107e-06 -2.1444179765239824e-05 1.4992451724538114e-05 6.4588334680593107e-06 -2.1444179765239824e-05 1.4992451724538114e-05
0.00080000000000000145 6.5263350279565202e-06 -2.1458390619955026e-05 1.4935608305677306e-05 6.5263350279565202e-06 -2.1458390619955026e-05 1.4935608305677306e-05
0.00081000000000000147 6.6151528699265327e-06 -2.148681232938543e-05 1.4864554032101296e-05 6.6151528699265327e-06 -2.148681232938543e-05 1.4864554032101296e-05
0.0008200000000000015 6.7004179982177448e-06 -2.148681232938543e-05 1.4807710613240488e-05 6.7004179982177448e-06 -2.148681232938543e-05 1.4807710613240488e-05
0.00083000000000000153 6.7643668444361538e-06 -2.1501023184100632e-05 1.4736656339664478e-05 6.7643668444361538e-06 -2.1501023184100632e-05 1.4736656339664478e-05
0.00084000000000000155 6.8460792590485653e-06 -2.1529444893531036e-05 1.467981292080367e-05 6.8460792590485653e-06 -2.1529444893531036e-05 1.467981292080367e-05
0.00085000000000000158 6.9348971010185778e-06 -2.1543655748246238e-05 1.4622969501942862e-05 6.9348971010185778e-06 -2.1543655748246238e-05 1.4622969501942862e-05
0.00086000000000000161 7.0059513745945878e-06 -2.1572077457676642e-05 1.4566126083082054e-05 7.0059513745945878e-06 -2.1572077457676642e-05 1.4566126083082054e-05
0.00087000000000000163 7.0841110755281989e-06 -2.1572077457676642e-05 1.4495071809506044e-05 7.0841110755281989e-06 -2.1572077457676642e-05 1.4495071809506044e-05
0.00088000000000000166 7.1622707764618099e-06 -2.1600499167107046e-05 1.4438228390645236e-05 7.1622707764618099e-06 -2.1600499167107046e-05 1.4438228390645236e-05
0.00089000000000000168 7.2475359047530219e-06 -2.1614710021822248e-05 1.4367174117069226e-05 7.2475359047530219e-06 -2.1614710021822248e-05 1.4367174117069226e-05
