Time Vab Vac Vba Vbc Vca Vcb VR
0.031079999999998904 -60.996778138655294 186.81391814236406 60.996778138655294 -125.81714000370877 -186.81391814236406 125.81714000370877 186.81391421871137
0.031089999999998903 -60.31588628154794 186.67150559955641 60.31588628154794 -126.35561931800848 -186.67150559955641 126.35561931800848 186.6715016788948
0.031099999999998903 -59.634137202186629 186.52644004145569 59.634137202186629 -126.89230283926906 -186.52644004145569 126.89230283926906 186.52643612384088
0.031109999999998902 -58.951540589735195 186.3787235297647 58.951540589735195 -127.4271829400295 -186.3787235297647 127.4271829400295 186.37871961525241
0.031119999999998902 -58.268106145402783 186.22835816386217 58.268106145402783 -127.96025201845939 -186.22835816386217 127.96025201845939 186.22835425250796
0.031129999999998902 -57.583843582304958 186.07534608077256 57.583843582304958 -128.49150249846761 -186.07534608077256 128.49150249846761 186.07534217263211
0.031139999999998901 -56.898762625327997 185.91968945513645 56.898762625327997 -129.02092682980845 -185.91968945513645 129.02092682980845 185.91968555026529
0.031149999999998901 -56.212873010988076 185.76139049917896 56.212873010988076 -129.54851748819087 -185.76139049917896 129.54851748819087 185.76138659763248
0.0311599999999989 -55.526184487295218 185.60045146267859 55.526184487295218 -130.07426697538338 -185.60045146267859 130.07426697538338 185.60044756451236
0.0311699999999989 -54.838706813613605 185.43687463293546 54.838706813613605 -130.59816781932184 -185.43687463293546 130.59816781932184 185.43687073820479
0.0311799999999989 -54.150449760522079 185.27066233473829 54.150449760522079 -131.1202125742162 -185.27066233473829 131.1202125742162 185.27065844349858
0.031189999999998899 -53.461423109677462 185.10181693033175 53.461423109677462 -131.64039382065428 -185.10181693033175 131.64039382065428 185.1018130426383
0.031199999999998899 -52.771636653672999 184.93034081938271 52.771636653672999 -132.15870416570971 -184.93034081938271 132.15870416570971 184.93033693529071
0.031209999999998898 -52.081100195901371 184.75623643894627 52.081100195901371 -132.6751362430449 -184.75623643894627 132.6751362430449 184.75623255851107
0.031219999999998898 -51.389823550414533 184.57950626343126 51.389823550414533 -133.18968271301674 -184.57950626343126 133.18968271301674 184.57950238670796
0.031229999999998898 -50.697816541783041 184.40015280456447 50.697816541783041 -133.70233626278144 -184.40015280456447 133.70233626278144 184.4001489316081
0.031239999999998897 -50.00508900495894 184.21817861135571 50.00508900495894 -134.21308960639678 -184.21817861135571 134.21308960639678 184.21817474222132
